trial,scenario,expected_value_strategy,expected_value_payoff,expected_utility_strategy,expected_utility_payoff,subjective_expected_utility_strategy,subjective_expected_utility_payoff,robust_strategy,robust_payoff,satisficing_strategy,satisficing_payoff,noisy_expected_value_strategy,noisy_expected_value_payoff
202,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
203,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
204,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
205,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
206,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
207,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
208,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
209,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
210,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
211,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
212,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
213,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
214,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
215,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
216,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
217,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
218,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
219,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
220,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
221,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
222,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
223,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
224,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
225,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
226,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
227,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Defensive,44.0
228,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
229,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
230,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
231,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
232,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
233,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
234,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
235,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
236,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
237,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
238,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
239,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
240,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
241,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
242,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
243,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
244,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
245,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
246,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
247,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Defensive,58.0
248,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
249,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
250,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
251,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
252,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
253,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
254,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
255,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
256,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
257,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
258,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
259,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
260,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
261,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
262,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
263,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
264,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
265,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
266,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
267,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
268,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
269,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
270,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
271,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Defensive,62.0
272,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
273,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
274,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
275,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
276,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
277,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
278,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
279,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
280,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
281,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
282,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
283,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
284,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
285,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
286,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
287,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
288,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
289,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
290,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
291,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
292,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
293,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
294,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
295,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
296,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
297,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
298,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
299,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
300,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
301,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
302,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
303,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
304,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
305,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
306,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
307,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
308,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
309,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
310,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Defensive,54.0
311,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
312,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
313,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
314,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
315,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
316,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
317,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
318,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
319,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
320,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
321,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Balanced,42.0
322,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
323,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
324,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
325,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
326,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
327,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Defensive,62.0
328,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
329,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
330,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
331,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
332,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
333,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
334,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
335,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
336,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
337,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
338,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
339,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
340,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
341,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
342,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
343,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
344,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
345,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Defensive,58.0
346,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
347,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
348,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
349,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Defensive,62.0
350,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
351,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
352,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Balanced,42.0
353,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
354,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
355,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
356,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
357,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
358,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
359,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
360,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
361,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
362,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
363,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
364,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Balanced,42.0
365,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Defensive,58.0
366,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Defensive,62.0
367,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Defensive,62.0
368,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
369,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
370,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
371,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
372,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Defensive,58.0
373,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
374,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
375,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
376,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
377,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
378,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
379,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
380,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
381,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
382,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
383,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
384,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
385,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
386,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
387,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
388,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
389,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
390,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Defensive,58.0
391,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
392,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
393,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
394,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
395,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
396,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
397,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
398,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
399,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
400,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
401,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
402,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
403,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Aggressive,50.0
404,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
